"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
"Thu Apr 02 20:47:24 +0000 2015",583732487022485500,"It's #throwbackthursday &amp; for this #tbt I thought I'd post a photo of my warm brown smokey eye look,… https://t.co/T4XsckzeE5",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:24 +0000 2015",583732487748214800,"I understand that it's warm out but I don't think it's time for Jean shorts and crop tops yet",,,,,,,,,,,{"type":"Point","coordinates":[41.008215,-76.448331]},{"type":"Point","coordinates":[-76.448331,41.008215]},{"id":"1862782bb20740eb","url":"https://api.twitter.com/1.1/geo/id/1862782bb20740eb.json","place_type":"city","name":"Bloomsburg","full_name":"Bloomsburg, PA","country_code":"US","country":"United States","bounding_box":{"type":"Polygon","coordinates":[[[-76.477539,40.977883],[-76.477539,41.025192],[-76.428725,41.025192],[-76.428725,40.977883]]]},"attributes":{}}
"Thu Apr 02 20:47:25 +0000 2015",583732490235318300,"@bmrn27 I wonder what prompted that post. It wouldn't shock me if they're back together &amp; she posted that to warm the public back up.",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:27 +0000 2015",583732497957187600,"I hope the heckler was the warm up to the streaker.",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:30 +0000 2015",583732509705404400,"RT @catchifyou_KEN: bitches love warm weather😭everybody acting up",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:30 +0000 2015",583732512532340700,"RT @laurenhscarlett: ""don't set yourself on fire to keep others warm""",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:30 +0000 2015",583732512867901400,"[| Hearing Gary meow quietly in the living room, he slid into his bed and covered his muscular frame with a warm blanket, quickly getting »",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:31 +0000 2015",583732515946569700,"clegg getting ~sensual~: ""the NHS doesn't need warm words, it needs hard cash."" a hard cash injection. up its bum",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:32 +0000 2015",583732517422895100,"RT @CrossAllison: The only warm place I'll be over spring break is in the tanning bed!",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:33 +0000 2015",583732522074382300,"So warm gonna die omd",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:33 +0000 2015",583732524121256000,"RT @JinxxBVB: Thank you St. Petersburg for the warm welcome into Russia!!! We love you!! ❤️🇷🇺",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:34 +0000 2015",583732529653481500,"RT @xTabbyKatt: Sending massive warm #MarsHugs... ♥ RT @JaredLetoTheory: IMPORTANT MESSAGE FOR ALL MY ECHELON FOLLOWERS! http://t.co/55ck39…",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:35 +0000 2015",583732530823602200,"Warm Days Ahead - 渡辺貞夫 #nowplaying http://t.co/ZCNrz4cl9T",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:36 +0000 2015",583732534300770300,"RT @TheOther88: Have you see The Other 88 Cypher yet? Watch the artists warm up for tonight's competition https://t.co/N7HMYWAdu9 #NCAT #Be…",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:36 +0000 2015",583732535647195100,"I was warm in my clothes and bed",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:36 +0000 2015",583732535269654500,"Today was my first day at @SAP_Nederland Thanks for the warm welcome and the beautiful flowers! http://t.co/5JFQVxHZAR",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:37 +0000 2015",583732538604032000,"RT @ThadCastl3: Finally warm out 🌞",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:38 +0000 2015",583732544446799900,"RT @spenno: Leanne is calm and collected, Nicola is believable and warm. The rest are out of touch with the kind of rhetoric we want #leade…",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:38 +0000 2015",583732545516347400,"“@CuteKidVines: ""Jesus make it warm"" 😂 https://t.co/yfqUPM9vt8” @JonoBarberr",,,,,,,,,,,null,null,null
"Thu Apr 02 20:47:38 +0000 2015",583732545772097500,"Enter for a chance to win a Kellogg's Canada Mini-Wheats Prize Pack over at @MomMomOnTheGo #TryItHot http://t.co/lVc9T1xeUn",,,,,,,,,,,null,null,null
